[2024-05-16 21:15:31,348: INFO : main: This is the custom logger]
[2024-05-17 01:20:12,534: INFO : main: This is the custom logger]
[2024-05-17 01:41:41,847: INFO : main: This is the custom logger]
[2024-05-17 20:22:07,417: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-17 20:22:07,429: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-17 20:22:29,364: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-17 20:22:29,378: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-17 20:22:29,378: INFO : common: Created Directory at artifacts]
[2024-05-17 20:22:29,378: INFO : common: Created Directory at artifacts/data_ingestion]
[2024-05-17 20:29:17,183: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-17 20:29:17,188: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-17 20:29:17,191: INFO : common: Created Directory at artifacts]
[2024-05-17 20:29:17,194: INFO : common: Created Directory at artifacts/data_ingestion]
[2024-05-17 20:31:13,790: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-17 20:31:13,795: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-17 20:31:13,796: INFO : common: Created Directory at artifacts]
[2024-05-17 20:32:46,352: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-17 20:32:46,358: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-17 20:32:46,363: INFO : common: Created Directory at artifacts]
[2024-05-17 20:32:46,364: INFO : common: Created Directory at artifacts/data_ingestion]
[2024-05-17 20:58:31,486: INFO : main: >>>>>> Stage Data Ingestion Stage started <<<<<<]
[2024-05-17 20:58:31,489: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-17 20:58:31,494: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-17 20:58:31,494: INFO : common: Created Directory at artifacts]
[2024-05-17 20:58:31,497: INFO : common: Created Directory at artifacts/data_ingestion]
[2024-05-17 20:58:31,499: INFO : data_ingestion: Downloading data from https://drive.google.com/file/d/1mHAjS0aPr8U0Nc-pCpinuF8rbox3G8FO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-17 20:58:45,093: INFO : data_ingestion: Downloaded data from https://drive.google.com/file/d/1mHAjS0aPr8U0Nc-pCpinuF8rbox3G8FO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-17 20:58:46,122: INFO : main: >>>>>> Stage Data Ingestion Stage completed <<<<<<]
[2024-05-18 00:38:09,449: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-18 00:38:09,463: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-18 00:38:09,467: INFO : common: Created Directory at artifacts]
[2024-05-18 00:38:09,468: INFO : common: Created Directory at artifacts/prepare_base_model]
[2024-05-18 00:38:15,922: WARNING : saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-05-18 00:52:14,657: INFO : main: >>>>>> Stage Data Ingestion Stage started <<<<<<]
[2024-05-18 00:52:14,657: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-18 00:52:14,657: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-18 00:52:14,657: INFO : common: Created Directory at artifacts]
[2024-05-18 00:52:14,657: INFO : common: Created Directory at artifacts/data_ingestion]
[2024-05-18 00:52:14,657: INFO : data_ingestion: Downloading data from https://drive.google.com/file/d/1mHAjS0aPr8U0Nc-pCpinuF8rbox3G8FO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-18 00:52:19,616: INFO : data_ingestion: Downloaded data from https://drive.google.com/file/d/1mHAjS0aPr8U0Nc-pCpinuF8rbox3G8FO/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-18 00:52:20,175: INFO : main: >>>>>> Stage Data Ingestion Stage completed <<<<<<]
[2024-05-18 00:52:20,175: INFO : main: **********]
[2024-05-18 00:52:20,177: INFO : main: >>>>>>>> Stage Base Model Preparation Stage started <<<<<<<]
[2024-05-18 00:52:20,177: INFO : common: yaml file: config\config.yaml loaded successfully]
[2024-05-18 00:52:20,177: INFO : common: yaml file: params.yaml loaded successfully]
[2024-05-18 00:52:20,177: INFO : common: Created Directory at artifacts]
[2024-05-18 00:52:20,177: INFO : common: Created Directory at artifacts/prepare_base_model]
[2024-05-18 00:52:20,655: WARNING : saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-05-18 00:52:20,946: INFO : main: >>>>>> Stage Base Model Preparation Stage completed <<<<<]
